user;system
0;0
0.562312;0.123123
1.12462;0.246246
1.68694;0.369369
2.24925;0.492492
2.81156;0.615616
3.37387;0.738739
3.93619;0.861862
4.4985;0.984985
5.06081;1.10811
5.62312;1.23123
6.18543;1.35435
6.74775;1.47748
7.31006;1.6006
7.87237;1.72372
8.43468;1.84685
8.997;1.96997
9.55931;2.09309
10.1216;2.21622
10.6839;2.33934
11.2462;2.46246
11.8086;2.58559
12.3709;2.70871
12.9332;2.83183
13.4955;2.95496
14.0578;3.07808
14.6201;3.2012
15.1824;3.32433
15.7447;3.44745
16.3071;3.57057
16.8694;3.69369
17.4317;3.81682
17.994;3.93994
18.5563;4.06306
19.1186;4.18619
19.6809;4.30931
20.2432;4.43243
20.8056;4.55556
21.3679;4.67868
21.9302;4.8018
22.4925;4.92493
23.0548;5.04805
23.6171;5.17117
24.1794;5.2943
24.7418;5.41742
25.3041;5.54054
25.8664;5.66367
26.4287;5.78679
26.991;5.90991
27.5533;6.03303
28.1156;6.15616
28.6779;6.27928
29.2403;6.4024
29.8026;6.52553
30.3649;6.64865
30.9272;6.77177
31.4895;6.8949
32.0518;7.01802
32.6141;7.14114
33.1764;7.26427
33.7388;7.38739
34.3011;7.51051
34.8634;7.63364
35.4257;7.75676
35.988;7.87988
36.5503;8.00301
37.1126;8.12613
37.6749;8.24925
38.2373;8.37237
38.7996;8.4955
39.3619;8.61862
39.9242;8.74174
40.4865;8.86487
41.0488;8.98799
41.6111;9.11111
42.1735;9.23424
42.7358;9.35736
43.2981;9.48048
43.8604;9.60361
44.4227;9.72673
44.985;9.84985
45.5473;9.97298
46.1096;10.0961
46.672;10.2192
47.2343;10.3423
47.7966;10.4655
48.3589;10.5886
48.9212;10.7117
49.4835;10.8348
50.0458;10.958
50.6082;11.0811
51.1705;11.2042
51.7328;11.3273
52.2951;11.4505
52.8574;11.5736
53.4197;11.6967
53.982;11.8198
54.5443;11.9429
55.1067;12.0661
55.669;12.1892
